%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1.57E+18,870877,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.508266894,-0.942617905,2.424526955,-0.188909055,0.128922858,0.813871242,1
1.57E+18,870878,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.408733694,-0.586203888,2.824712056,-0.18518621,0.075696495,0.816656294,1
1.57E+18,870879,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.429010851,-1.106043433,2.663938589,-0.238013383,0.070767896,0.83505494,1
1.57E+18,870880,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.432033677,-1.179547084,2.76264618,-0.299757216,0.042241904,0.850598025,1
1.57E+18,870881,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.426454485,-0.928129218,2.642713744,-0.263572868,0.023208944,0.790870731,1
1.57E+18,870882,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.412397936,-1.065601191,2.660469789,-0.242301821,0.059052563,0.821645052,1
1.57E+18,870883,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.402614391,-0.927555415,2.689897776,-0.229021587,0.065918121,0.820951432,1
1.57E+18,870884,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.365913533,-1.271955471,2.572500824,-0.288510905,0.033474046,0.805116377,1
1.57E+18,870885,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.374046592,-0.783781533,2.930727399,-0.235843045,0.056393439,0.808479881,1
1.57E+18,870886,1.57E+18,0.650182092,-0.000590653,0.399884249,0.000276743,0.000138346,0.705683631,0.708527005,-0.000926749,-8.93E-05,-6.67E-05,-0.001554872,0.001390247,-0.003152795,-0.367357629,-0.98222429,2.803845171,-0.237889371,0.042564807,0.804532858,1
